"Region";"NewName";"speciesKey";"Realm";"FirstRecord"
"South Africa";"Discus rotundatus";2294144;"terrestrial";1986
"Australia";"Theba pisana";2294277;"terrestrial";1928
"Belgium";"Theba pisana";2294277;"terrestrial";1866
"Ireland";"Theba pisana";2294277;"terrestrial";1880
"South Africa";"Theba pisana";2294277;"terrestrial";1881
"United Kingdom";"Theba pisana";2294277;"terrestrial";1963
"United States";"Theba pisana";2294277;"terrestrial";1914
"Czech Republic";"Cepaea nemoralis";2294280;"terrestrial";1895
"Norway";"Cepaea nemoralis";2294280;"terrestrial";1875
"United States";"Cepaea nemoralis";2294280;"terrestrial";1962
"United States";"Otala lactea";2294284;"terrestrial";1931
"Latvia";"Helix pomatia";2294287;"terrestrial";1406
"Norway";"Helix pomatia";2294287;"terrestrial";1853
"Sweden";"Helix pomatia";2294287;"terrestrial";1600
"Germany";"Hawaiia minuscula";2295309;"terrestrial";1983
"Israel";"Hawaiia minuscula";2295309;"terrestrial";1966
"South Africa";"Vitrea contracta";2295355;"terrestrial";2004
"New Zealand";"Zonitoides arboreus";2295425;"terrestrial";1952
"Norway";"Zonitoides arboreus";2295425;"terrestrial";1967
"South Africa";"Zonitoides arboreus";2295425;"terrestrial";1898
"Argentina";"Limax maximus";2295438;"terrestrial";1963
"Azores";"Limax maximus";2295438;"terrestrial";1860
"Canada";"Limax maximus";2295438;"terrestrial";1904
"Denmark";"Limax maximus";2295438;"terrestrial";1868
"Estonia";"Limax maximus";2295438;"terrestrial";1920
"Finland";"Limax maximus";2295438;"terrestrial";1886
"Hawaiian Islands";"Limax maximus";2295438;"terrestrial";1920
"Hungary";"Limax maximus";2295438;"terrestrial";1892
"Mexico";"Limax maximus";2295438;"terrestrial";1926
"New Zealand";"Limax maximus";2295438;"terrestrial";1879
"Norway";"Limax maximus";2295438;"terrestrial";1870
"Sweden";"Limax maximus";2295438;"terrestrial";1833
"United States";"Limax maximus";2295438;"terrestrial";1867
"Argentina";"Limacus flavus";2295442;"terrestrial";1964
"New Zealand";"Limacus flavus";2295442;"terrestrial";1879
"South Africa";"Limacus flavus";2295442;"terrestrial";1898
"United Kingdom";"Limacus flavus";2295442;"terrestrial";1884
"Brazil";"Achatina fulica";2295966;"terrestrial";1988
"China";"Achatina fulica";2295966;"terrestrial";1922
"French Polynesia";"Achatina fulica";2295966;"terrestrial";1967
"Galapagos";"Achatina fulica";2295966;"terrestrial";2010
"Guam";"Achatina fulica";2295966;"terrestrial";1943
"Hawaiian Islands";"Achatina fulica";2295966;"terrestrial";1936
"India";"Achatina fulica";2295966;"terrestrial";1996
"Japan";"Achatina fulica";2295966;"terrestrial";1932
"Malaysia";"Achatina fulica";2295966;"terrestrial";1911
"Maldives";"Achatina fulica";2295966;"terrestrial";1957
"Martinique";"Achatina fulica";2295966;"terrestrial";1988
"Mauritius";"Achatina fulica";2295966;"terrestrial";1803
"New Caledonia";"Achatina fulica";2295966;"terrestrial";1972
"Northern Mariana Islands";"Achatina fulica";2295966;"terrestrial";1936
"Palau";"Achatina fulica";2295966;"terrestrial";1938
"Philippines";"Achatina fulica";2295966;"terrestrial";1949
"Reunion";"Achatina fulica";2295966;"terrestrial";1821
"Samoa";"Achatina fulica";2295966;"terrestrial";1990
"Singapore";"Achatina fulica";2295966;"terrestrial";1917
"Sri Lanka";"Achatina fulica";2295966;"terrestrial";1900
"Taiwan";"Achatina fulica";2295966;"terrestrial";1932
"United States";"Achatina fulica";2295966;"terrestrial";2011
"Venezuela";"Achatina fulica";2295966;"terrestrial";1996
"Vietnam";"Achatina fulica";2295966;"terrestrial";1937
"New Zealand";"Cochlicopa lubrica";2295977;"terrestrial";1893
"South Africa";"Cochlicopa lubrica";2295977;"terrestrial";1978
"New Zealand";"Vallonia excentrica";2296007;"terrestrial";1893
"Sweden";"Vallonia excentrica";2296007;"terrestrial";1600
"United Kingdom";"Trochoidea elegans";2296805;"terrestrial";1900
"Belgium";"Cochlicella barbara";2296807;"terrestrial";1946
"Israel";"Cochlicella barbara";2296807;"terrestrial";1970
"New Zealand";"Cochlicella barbara";2296807;"terrestrial";1983
"South Africa";"Cochlicella barbara";2296807;"terrestrial";1909
"United States";"Cochlicella barbara";2296807;"terrestrial";2015
"Germany";"Milax gagates";2297108;"terrestrial";1952
"New Zealand";"Milax gagates";2297108;"terrestrial";1840
"United Kingdom";"Milax gagates";2297108;"terrestrial";1948
"Hawaiian Islands";"Bradybaena similaris";2297154;"terrestrial";1893
"South Africa";"Bradybaena similaris";2297154;"terrestrial";1858
"United States";"Bradybaena similaris";2297154;"terrestrial";1974
"Argentina";"Cecilioides acicula";2297229;"terrestrial";1995
"Sweden";"Cecilioides acicula";2297229;"terrestrial";1826
"United States";"Cecilioides acicula";2297229;"terrestrial";1946
"Canada";"Valvata piscinalis";2298076;"freshwater";1897
"United States";"Valvata piscinalis";2298076;"freshwater";1897
"Canada";"Bithynia tentaculata";2299854;"freshwater";1871
"United States";"Bithynia tentaculata";2299854;"freshwater";1871
"Canada";"Batillaria attramentaria";2300712;"terrestrial";1959
"United States";"Batillaria attramentaria";2300712;"terrestrial";1923
"Hawaiian Islands";"Tarebia granifera";2300928;"freshwater";1856
"Mexico";"Tarebia granifera";2300928;"freshwater";1947
"South Africa";"Tarebia granifera";2300928;"freshwater";2005
"United States";"Tarebia granifera";2300928;"freshwater";1949
"Canada";"Elimia virginica";2302013;"freshwater";1860
"Germany";"Barbronia weberi";2307447;"terrestrial";1994
"United States";"Amynthas hupeiensis";2307608;"terrestrial";1910
"France";"Caspiobdella fadejewi";2307856;"terrestrial";2008
"Canada";"Ripistes parasita";2308186;"freshwater";1980
"United States";"Ripistes parasita";2308186;"freshwater";1978
"Ukraine";"Tubifex newaensis";2308439;"freshwater";1955
"Canada";"Branchiura sowerbyi";2308574;"freshwater";1951
"Germany";"Branchiura sowerbyi";2308574;"freshwater";1959
"Netherlands";"Branchiura sowerbyi";2308574;"freshwater";1918
"United States";"Branchiura sowerbyi";2308574;"freshwater";1951
"United States";"Potamothrix bedoti";2308604;"freshwater";1978
"Russia";"Potamothrix vejdovskyi";2308605;"freshwater";1962
"United States";"Potamothrix vejdovskyi";2308605;"freshwater";1965
"Germany";"Potamothrix bavaricus";2308606;"freshwater";1913
"Russia";"Potamothrix bavaricus";2308606;"freshwater";1997
"Poland";"Potamothrix hammoniensis";2308608;"freshwater";2010
"Estonia";"Potamothrix moldaviensis";2308609;"freshwater";1963
"Poland";"Potamothrix moldaviensis";2308609;"freshwater";2008
"Russia";"Potamothrix moldaviensis";2308609;"freshwater";1954
"United States";"Potamothrix moldaviensis";2308609;"freshwater";1952
"Ukraine";"Tubificoides benedii";2308668;"terrestrial";1916
"Denmark";"Hirudo medicinalis";2308887;"freshwater";1850
"Belgium";"Silurus glanis";2337607;"freshwater";1983
"France";"Silurus glanis";2337607;"freshwater";1857
"Greece";"Silurus glanis";2337607;"freshwater";1995
"Italy";"Silurus glanis";2337607;"freshwater";1900
"Netherlands";"Silurus glanis";2337607;"freshwater";1970
"Portugal";"Silurus glanis";2337607;"freshwater";2006
"Spain";"Silurus glanis";2337607;"freshwater";1974
"United Kingdom";"Silurus glanis";2337607;"freshwater";1853
"United States";"Phractocephalus hemioliopterus";2338793;"freshwater";1979
"United States";"Leiarius marmoratus";2338858;"freshwater";2014
"United States";"Pterygoplichthys gibbiceps";2339957;"freshwater";2010
"United States";"Pterygoplichthys multiradiatus";2339962;"freshwater";1960
"Mexico";"Pterygoplichthys pardalis";2339971;"freshwater";2009
"Philippines";"Pterygoplichthys pardalis";2339971;"freshwater";1993
"United States";"Pterygoplichthys pardalis";2339971;"freshwater";1990
"United States";"Pterygoplichthys anisitsi";2339979;"freshwater";1996
"Mexico";"Pterygoplichthys disjunctivus";2340003;"freshwater";1995
"Philippines";"Pterygoplichthys disjunctivus";2340003;"freshwater";1997
"United States";"Pterygoplichthys disjunctivus";2340003;"freshwater";1971
"Indonesia";"Pangasianodon hypophthalmus";2340714;"freshwater";1972
"Philippines";"Pangasianodon hypophthalmus";2340714;"freshwater";1978
"Mexico";"Ameiurus natalis";2340969;"freshwater";1978
"Puerto Rico";"Ameiurus catus";2340972;"freshwater";1938
"Belgium";"Ameiurus melas";2340977;"freshwater";1880
"France";"Ameiurus melas";2340977;"freshwater";1871
"Germany";"Ameiurus melas";2340977;"freshwater";1988
"Hungary";"Ameiurus melas";2340977;"freshwater";1902
"Netherlands";"Ameiurus melas";2340977;"freshwater";1900
"Portugal";"Ameiurus melas";2340977;"freshwater";2002
"Spain";"Ameiurus melas";2340977;"freshwater";1910
"United Kingdom";"Ameiurus melas";2340977;"freshwater";1880
"Belarus";"Ameiurus nebulosus";2340989;"freshwater";1935
"Belgium";"Ameiurus nebulosus";2340989;"freshwater";1871
"Canada";"Ameiurus nebulosus";2340989;"freshwater";2006
"Czech Republic";"Ameiurus nebulosus";2340989;"freshwater";1890
"Finland";"Ameiurus nebulosus";2340989;"freshwater";1921
"France";"Ameiurus nebulosus";2340989;"freshwater";1941
"Germany";"Ameiurus nebulosus";2340989;"freshwater";1889
"Italy";"Ameiurus nebulosus";2340989;"freshwater";1906
"Netherlands";"Ameiurus nebulosus";2340989;"freshwater";1900
"New Zealand";"Ameiurus nebulosus";2340989;"freshwater";1877
"Norway";"Ameiurus nebulosus";2340989;"freshwater";1890
"Poland";"Ameiurus nebulosus";2340989;"freshwater";1885
"Puerto Rico";"Ameiurus nebulosus";2340989;"freshwater";1915
"Sweden";"Ameiurus nebulosus";2340989;"freshwater";1921
"United States";"Hoplosternum littorale";2342499;"freshwater";1995
"Hawaiian Islands";"Corydoras aeneus";2342606;"freshwater";1984
"United States";"Platydoras costatus";2343881;"freshwater";1973
"United States";"Polypterus delhezi";2346575;"freshwater";2001
"Ireland";"Esox lucius";2346633;"freshwater";1186
"Norway";"Esox lucius";2346633;"freshwater";1865
"Portugal";"Esox lucius";2346633;"freshwater";1950
"Spain";"Esox lucius";2346633;"freshwater";1949
"United Kingdom";"Esox lucius";2346633;"freshwater";1993
"Colombia";"Poecilia reticulata";2350050;"freshwater";1940
"Germany";"Poecilia reticulata";2350050;"freshwater";1972
"Hawaiian Islands";"Poecilia reticulata";2350050;"freshwater";1922
"India";"Poecilia reticulata";2350050;"freshwater";1908
"Indonesia";"Poecilia reticulata";2350050;"freshwater";1920
"Japan";"Poecilia reticulata";2350050;"freshwater";1955
"Kenya";"Poecilia reticulata";2350050;"freshwater";1950
"Mexico";"Poecilia reticulata";2350050;"freshwater";1947
"Netherlands";"Poecilia reticulata";2350050;"freshwater";1987
"New Caledonia";"Poecilia reticulata";2350050;"freshwater";1942
"Nigeria";"Poecilia reticulata";2350050;"freshwater";1972
"Peru";"Poecilia reticulata";2350050;"freshwater";1940
"Philippines";"Poecilia reticulata";2350050;"freshwater";1905
"Puerto Rico";"Poecilia reticulata";2350050;"freshwater";1935
"Reunion";"Poecilia reticulata";2350050;"freshwater";1908
"Singapore";"Poecilia reticulata";2350050;"freshwater";1937
"Spain";"Poecilia reticulata";2350050;"freshwater";2000
"Thailand";"Poecilia reticulata";2350050;"freshwater";1960
"Uganda";"Poecilia reticulata";2350050;"freshwater";1950
"United States";"Poecilia reticulata";2350050;"freshwater";1922
"Malawi";"Phalloceros caudimaculatus";2350105;"freshwater";1956
"United States";"Belonesox belizanus";2350149;"freshwater";1957
"Hawaiian Islands";"Xiphophorus maculatus";2350164;"freshwater";1922
"Puerto Rico";"Xiphophorus maculatus";2350164;"freshwater";1935
"Reunion";"Xiphophorus maculatus";2350164;"freshwater";1980
"United States";"Xiphophorus maculatus";2350164;"freshwater";1922
"United States";"Xiphophorus variatus";2350220;"freshwater";1960
"Mexico";"Poeciliopsis gracilis";2350503;"freshwater";1901
"United States";"Poeciliopsis gracilis";2350503;"freshwater";1965
"Algeria";"Gambusia holbrooki";2350570;"freshwater";1926
"Australia";"Gambusia holbrooki";2350570;"freshwater";1925
"Bulgaria";"Gambusia holbrooki";2350570;"freshwater";1924
"Canary Islands";"Gambusia holbrooki";2350570;"freshwater";1943
"Chile";"Gambusia holbrooki";2350570;"freshwater";1930
"Corse";"Gambusia holbrooki";2350570;"freshwater";1924
"Cyprus";"Gambusia holbrooki";2350570;"freshwater";1926
"Egypt";"Gambusia holbrooki";2350570;"freshwater";1929
"France";"Gambusia holbrooki";2350570;"freshwater";1927
"Greece";"Gambusia holbrooki";2350570;"freshwater";1928
"India";"Gambusia holbrooki";2350570;"freshwater";1928
"Italy";"Gambusia holbrooki";2350570;"freshwater";1922
"Madagascar";"Gambusia holbrooki";2350570;"freshwater";1929
"Portugal";"Gambusia holbrooki";2350570;"freshwater";1921
"Slovenia";"Gambusia holbrooki";2350570;"freshwater";1927
"Spain";"Gambusia holbrooki";2350570;"freshwater";1921
"Syria";"Gambusia holbrooki";2350570;"freshwater";1966
"Tasmania";"Gambusia holbrooki";2350570;"freshwater";1995
"Turkey";"Gambusia holbrooki";2350570;"freshwater";1920
"United States";"Gambusia holbrooki";2350570;"freshwater";1927
"Algeria";"Gambusia affinis";2350580;"freshwater";1931
"Argentina";"Gambusia affinis";2350580;"freshwater";1943
"Australia";"Gambusia affinis";2350580;"freshwater";1925
"Canada";"Gambusia affinis";2350580;"freshwater";1923
"China";"Gambusia affinis";2350580;"freshwater";1911
"Egypt";"Gambusia affinis";2350580;"freshwater";1929
"Greece";"Gambusia affinis";2350580;"freshwater";1929
"Hawaiian Islands";"Gambusia affinis";2350580;"freshwater";1905
"India";"Gambusia affinis";2350580;"freshwater";1928
"Indonesia";"Gambusia affinis";2350580;"freshwater";1929
"Israel";"Gambusia affinis";2350580;"freshwater";1924
"Italy";"Gambusia affinis";2350580;"freshwater";1919
"Madagascar";"Gambusia affinis";2350580;"freshwater";1929
"Mexico";"Gambusia affinis";2350580;"freshwater";1931
"New Zealand";"Gambusia affinis";2350580;"freshwater";1930
"Philippines";"Gambusia affinis";2350580;"freshwater";1905
"Puerto Rico";"Gambusia affinis";2350580;"freshwater";1914
"Slovenia";"Gambusia affinis";2350580;"freshwater";1927
"South Africa";"Gambusia affinis";2350580;"freshwater";1936
"Spain";"Gambusia affinis";2350580;"freshwater";1921
"Taiwan";"Gambusia affinis";2350580;"freshwater";1923
"Turkey";"Gambusia affinis";2350580;"freshwater";1921
"China";"Coregonus nasus";2351064;"freshwater";1987
"Poland";"Coregonus fera";2351066;"terrestrial";1862
"Canada";"Coregonus clupeaformis";2351119;"freshwater";1886
"Italy";"Coregonus lavaretus";2351211;"freshwater";1880
"Netherlands";"Coregonus lavaretus";2351211;"freshwater";1936
"Russia";"Coregonus lavaretus";2351211;"freshwater";1953
"United States";"Coregonus lavaretus";2351211;"freshwater";1877
"Argentina";"Salvelinus namaycush";2351327;"freshwater";1904
"Canada";"Salvelinus namaycush";2351327;"freshwater";1889
"France";"Salvelinus namaycush";2351327;"freshwater";1886
"Norway";"Salvelinus namaycush";2351327;"freshwater";1897
"Sweden";"Salvelinus namaycush";2351327;"freshwater";1899
"Spain";"Hucho hucho";2351413;"freshwater";1968
"United States";"Salmo letnica";2351552;"freshwater";1965
"Brazil";"Pygocentrus nattereri";2352479;"freshwater";1965
"Hawaiian Islands";"Pygocentrus nattereri";2352479;"freshwater";1992
"United States";"Pygocentrus nattereri";2352479;"freshwater";1974
"Indonesia";"Colossoma macropomum";2353152;"freshwater";1986
"United States";"Colossoma macropomum";2353152;"freshwater";1968
"United States";"Piaractus mesopotamicus";2353219;"freshwater";1987
"Cambodia";"Piaractus brachypomus";2353225;"freshwater";2003
"Colombia";"Piaractus brachypomus";2353225;"freshwater";1988
"Malaysia";"Piaractus brachypomus";2353225;"freshwater";1984
"Peru";"Piaractus brachypomus";2353225;"freshwater";1980
"United States";"Piaractus brachypomus";2353225;"freshwater";1988
"Peru";"Brycon melanopterus";2353460;"freshwater";1968
"Peru";"Brycon cephalus";2353487;"freshwater";1967
"Chile";"Cheirodon interruptus";2353776;"freshwater";1960
"United States";"Gymnocorymbus ternetzi";2353920;"freshwater";1971
"United States";"Hemigrammus ocellifer";2354330;"freshwater";1980
"United States";"Hyphessobrycon pulchripinnis";2354601;"freshwater";1971
"United States";"Hyphessobrycon herbertaxelrodi";2354640;"freshwater";1971
"United States";"Leporinus fasciatus";2355387;"freshwater";1984
"Trinidad and Tobago";"Copella arnoldi";2355707;"freshwater";1975
"Japan";"Acheilognathus rhombeus";2359434;"freshwater";1975
"Italy";"Blicca bjoerkna";2359471;"freshwater";1993
"Spain";"Blicca bjoerkna";2359471;"freshwater";1995
"Russia";"Rutilus frisii";2359678;"freshwater";1933
"Australia";"Rutilus rutilus";2359706;"freshwater";1860
"Ireland";"Rutilus rutilus";2359706;"freshwater";1889
"Italy";"Rutilus rutilus";2359706;"freshwater";1989
"Kazakhstan";"Rutilus rutilus";2359706;"freshwater";1965
"Norway";"Rutilus rutilus";2359706;"freshwater";1907
"Portugal";"Rutilus rutilus";2359706;"freshwater";2007
"Spain";"Rutilus rutilus";2359706;"freshwater";1910
"United Kingdom";"Rutilus rutilus";2359706;"freshwater";1996
"Mexico";"Tampichthys ipni";2359862;"freshwater";1930
"France";"Pachychilon pictum";2360041;"freshwater";1987
"Russia";"Vimba vimba";2360504;"freshwater";1957
"France";"Chondrostoma nasus";2360551;"freshwater";1853
"Netherlands";"Romanogobio belingi";2360795;"freshwater";2004
"Italy";"Rhodeus sericeus";2360803;"freshwater";1981
"Russia";"Rhodeus sericeus";2360803;"freshwater";1994
"United Kingdom";"Rhodeus sericeus";2360803;"freshwater";1920
"Belgium";"Rhodeus amarus";2360842;"terrestrial";1989
"France";"Rhodeus amarus";2360842;"terrestrial";1983
"Netherlands";"Rhodeus amarus";2360842;"terrestrial";1992
"Russia";"Rhodeus amarus";2360842;"terrestrial";1993
"United Kingdom";"Rhodeus amarus";2360842;"terrestrial";1920
"United States";"Devario malabaricus";2361527;"freshwater";1979
"Argentina";"Ctenopharyngodon idella";2362030;"freshwater";1975
"Belgium";"Ctenopharyngodon idella";2362030;"freshwater";1967
"Brazil";"Ctenopharyngodon idella";2362030;"freshwater";1968
"Canada";"Ctenopharyngodon idella";2362030;"freshwater";1988
"Croatia";"Ctenopharyngodon idella";2362030;"freshwater";1970
"Czech Republic";"Ctenopharyngodon idella";2362030;"freshwater";1961
"Denmark";"Ctenopharyngodon idella";2362030;"freshwater";1965
"France";"Ctenopharyngodon idella";2362030;"freshwater";1957
"Germany";"Ctenopharyngodon idella";2362030;"freshwater";1964
"Guatemala";"Ctenopharyngodon idella";2362030;"freshwater";1989
"India";"Ctenopharyngodon idella";2362030;"freshwater";1959
"Indonesia";"Ctenopharyngodon idella";2362030;"freshwater";1915
"Italy";"Ctenopharyngodon idella";2362030;"freshwater";1975
"Japan";"Ctenopharyngodon idella";2362030;"freshwater";1878
"Mexico";"Ctenopharyngodon idella";2362030;"freshwater";1965
"Myanmar";"Ctenopharyngodon idella";2362030;"freshwater";1967
"Netherlands";"Ctenopharyngodon idella";2362030;"freshwater";1966
"Poland";"Ctenopharyngodon idella";2362030;"freshwater";1964
"Romania";"Ctenopharyngodon idella";2362030;"freshwater";1959
"Russia";"Ctenopharyngodon idella";2362030;"freshwater";1949
"Serbia";"Ctenopharyngodon idella";2362030;"freshwater";1963
"Slovenia";"Ctenopharyngodon idella";2362030;"freshwater";1963
"South Africa";"Ctenopharyngodon idella";2362030;"freshwater";1975
"Sweden";"Ctenopharyngodon idella";2362030;"freshwater";1969
"Switzerland";"Ctenopharyngodon idella";2362030;"freshwater";1974
"United Kingdom";"Ctenopharyngodon idella";2362030;"freshwater";1962
"United States";"Ctenopharyngodon idella";2362030;"freshwater";1903
"United States";"Mylopharyngodon piceus";2362110;"freshwater";1970
"United States";"Notropis stramineus";2362216;"freshwater";1982
"Canada";"Notropis buchanani";2362297;"freshwater";1979
"Bangladesh";"Hypophthalmichthys molitrix";2362473;"freshwater";1969
"Belgium";"Hypophthalmichthys molitrix";2362473;"freshwater";1975
"Brazil";"Hypophthalmichthys molitrix";2362473;"freshwater";1968
"Croatia";"Hypophthalmichthys molitrix";2362473;"freshwater";1960
"Czech Republic";"Hypophthalmichthys molitrix";2362473;"freshwater";1961
"France";"Hypophthalmichthys molitrix";2362473;"freshwater";1950
"Germany";"Hypophthalmichthys molitrix";2362473;"freshwater";1964
"Hungary";"Hypophthalmichthys molitrix";2362473;"freshwater";1963
"India";"Hypophthalmichthys molitrix";2362473;"freshwater";1959
"Israel";"Hypophthalmichthys molitrix";2362473;"freshwater";1966
"Japan";"Hypophthalmichthys molitrix";2362473;"freshwater";1878
"Mexico";"Hypophthalmichthys molitrix";2362473;"freshwater";1965
"Nepal";"Hypophthalmichthys molitrix";2362473;"freshwater";1965
"Netherlands";"Hypophthalmichthys molitrix";2362473;"freshwater";1966
"New Zealand";"Hypophthalmichthys molitrix";2362473;"freshwater";1969
"Romania";"Hypophthalmichthys molitrix";2362473;"freshwater";1959
"Serbia";"Hypophthalmichthys molitrix";2362473;"freshwater";1963
"Slovenia";"Hypophthalmichthys molitrix";2362473;"freshwater";1963
"South Africa";"Hypophthalmichthys molitrix";2362473;"freshwater";1975
"Thailand";"Hypophthalmichthys molitrix";2362473;"freshwater";1913
"United States";"Hypophthalmichthys molitrix";2362473;"freshwater";1973
"Bangladesh";"Hypophthalmichthys nobilis";2362486;"freshwater";1981
"Belgium";"Hypophthalmichthys nobilis";2362486;"freshwater";1975
"Brazil";"Hypophthalmichthys nobilis";2362486;"freshwater";1979
"Canada";"Hypophthalmichthys nobilis";2362486;"freshwater";2000
"Croatia";"Hypophthalmichthys nobilis";2362486;"freshwater";1960
"Czech Republic";"Hypophthalmichthys nobilis";2362486;"freshwater";1964
"France";"Hypophthalmichthys nobilis";2362486;"freshwater";1975
"Germany";"Hypophthalmichthys nobilis";2362486;"freshwater";1964
"India";"Hypophthalmichthys nobilis";2362486;"freshwater";1987
"Mexico";"Hypophthalmichthys nobilis";2362486;"freshwater";1975
"Netherlands";"Hypophthalmichthys nobilis";2362486;"freshwater";1966
"Philippines";"Hypophthalmichthys nobilis";2362486;"freshwater";1968
"Romania";"Hypophthalmichthys nobilis";2362486;"freshwater";1960
"Serbia";"Hypophthalmichthys nobilis";2362486;"freshwater";1973
"United States";"Hypophthalmichthys nobilis";2362486;"freshwater";1972
"Australia";"Tinca tinca";2362524;"freshwater";1876
"Canada";"Tinca tinca";2362524;"freshwater";1895
"Chile";"Tinca tinca";2362524;"freshwater";1927
"China";"Tinca tinca";2362524;"freshwater";1997
"Finland";"Tinca tinca";2362524;"freshwater";1936
"Greece";"Tinca tinca";2362524;"freshwater";1929
"India";"Tinca tinca";2362524;"freshwater";1870
"Netherlands";"Tinca tinca";2362524;"freshwater";1891
"Norway";"Tinca tinca";2362524;"freshwater";1800
"South Africa";"Tinca tinca";2362524;"freshwater";1896
"United States";"Tinca tinca";2362524;"freshwater";1874
"Canada";"Scardinius erythrophthalmus";2362635;"freshwater";1989
"New Zealand";"Scardinius erythrophthalmus";2362635;"freshwater";1967
"Norway";"Scardinius erythrophthalmus";2362635;"freshwater";2014
"Spain";"Scardinius erythrophthalmus";2362635;"freshwater";1910
"United States";"Scardinius erythrophthalmus";2362635;"freshwater";1700
"Japan";"Megalobrama amblycephala";2362740;"freshwater";1978
"Taiwan";"Megalobrama amblycephala";2362740;"freshwater";1979
"Austria";"Pseudorasbora parva";2362868;"freshwater";1982
"Belgium";"Pseudorasbora parva";2362868;"freshwater";1989
"Bulgaria";"Pseudorasbora parva";2362868;"freshwater";1976
"China";"Pseudorasbora parva";2362868;"freshwater";1974
"Croatia";"Pseudorasbora parva";2362868;"freshwater";1970
"Czech Republic";"Pseudorasbora parva";2362868;"freshwater";1969
"France";"Pseudorasbora parva";2362868;"freshwater";1978
"Germany";"Pseudorasbora parva";2362868;"freshwater";1984
"Hungary";"Pseudorasbora parva";2362868;"freshwater";1963
"Italy";"Pseudorasbora parva";2362868;"freshwater";1988
"Netherlands";"Pseudorasbora parva";2362868;"freshwater";1985
"Poland";"Pseudorasbora parva";2362868;"freshwater";1987
"Romania";"Pseudorasbora parva";2362868;"freshwater";1960
"Russia";"Pseudorasbora parva";2362868;"freshwater";1961
"Serbia";"Pseudorasbora parva";2362868;"freshwater";1978
"Slovakia";"Pseudorasbora parva";2362868;"freshwater";1962
"Spain";"Pseudorasbora parva";2362868;"freshwater";2001
"Turkey";"Pseudorasbora parva";2362868;"freshwater";1987
"United Kingdom";"Pseudorasbora parva";2362868;"freshwater";1985
"Belgium";"Leucaspius delineatus";2362881;"freshwater";1884
"France";"Leucaspius delineatus";2362881;"freshwater";1930
"Netherlands";"Leucaspius delineatus";2362881;"freshwater";1902
"Norway";"Leucaspius delineatus";2362881;"freshwater";1940
"United Kingdom";"Leucaspius delineatus";2362881;"freshwater";1980
"Portugal";"Alburnus alburnus";2362925;"freshwater";2001
"Spain";"Alburnus alburnus";2362925;"freshwater";1990
"China";"Alburnus chalcoides";2362973;"freshwater";2001
"Italy";"Luciobarbus graellsii";2363097;"freshwater";2000
"Mexico";"Notemigonus crysoleucas";2363714;"freshwater";1973
"Mexico";"Yuriria alta";2363786;"freshwater";1947
"Indonesia";"Osteochilus vittatus";2364327;"freshwater";1937
"Bhutan";"Tor putitora";2364530;"freshwater";1969
"Japan";"Biwia zezera";2364662;"freshwater";1960
"Hong Kong";"Opsariichthys bidens";2365479;"freshwater";1994
"Taiwan";"Leptobarbus hoevenii";2365645;"freshwater";1979
"Thailand";"Gibelion catla";2365855;"freshwater";1979
"United States";"Barbonymus schwanenfeldii";2366101;"freshwater";1969
"Bangladesh";"Barbonymus gonionotus";2366114;"freshwater";1977
"India";"Barbonymus gonionotus";2366114;"freshwater";1972
"Indonesia";"Barbonymus gonionotus";2366114;"freshwater";1963
"Malaysia";"Barbonymus gonionotus";2366114;"freshwater";1958
"Philippines";"Barbonymus gonionotus";2366114;"freshwater";1956
"Belgium";"Carassius gibelio";2366634;"freshwater";1750
"Czech Republic";"Carassius gibelio";2366634;"freshwater";1972
"Finland";"Carassius gibelio";2366634;"freshwater";2003
"Japan";"Carassius gibelio";2366634;"freshwater";1930
"Lithuania";"Carassius gibelio";2366634;"freshwater";1603
"Poland";"Carassius gibelio";2366634;"freshwater";1850
"Russia";"Carassius gibelio";2366634;"freshwater";2005
"Japan";"Carassius cuvieri";2366641;"freshwater";1931
"South Korea";"Carassius cuvieri";2366641;"freshwater";1972
"Australia";"Carassius carassius";2366645;"freshwater";1876
"China";"Carassius carassius";2366645;"freshwater";1976
"Italy";"Carassius carassius";2366645;"freshwater";1850
"Norway";"Carassius carassius";2366645;"freshwater";1932
"Netherlands";"Ballerus sapa";2367024;"freshwater";2004
"Russia";"Ballerus sapa";2367024;"freshwater";1975
"Russia";"Ballerus ballerus";2367033;"freshwater";1957
"Russia";"Pelecus cultratus";2367038;"freshwater";1957
"China";"Hemiculter leucisculus";2367280;"freshwater";1965
"Belgium";"Pimephales promelas";2367742;"freshwater";1983
"France";"Pimephales promelas";2367742;"freshwater";1980
"United Kingdom";"Pimephales promelas";2367742;"freshwater";199
"United States";"Pimephales promelas";2367742;"freshwater";1950
"Australia";"Misgurnus anguillicaudatus";2367919;"freshwater";1984
"Belgium";"Misgurnus anguillicaudatus";2367919;"freshwater";1877
"Canada";"Misgurnus anguillicaudatus";2367919;"freshwater";1939
"Netherlands";"Misgurnus anguillicaudatus";2367919;"freshwater";1984
"Philippines";"Misgurnus anguillicaudatus";2367919;"freshwater";1937
"Spain";"Misgurnus anguillicaudatus";2367919;"freshwater";2001
"United States";"Misgurnus anguillicaudatus";2367919;"freshwater";1932
"Netherlands";"Misgurnus fossilis";2367936;"freshwater";2012
"United Kingdom";"Misgurnus fossilis";2367936;"freshwater";1960
