"";"X";"speciesKey";"scientificName";"matchType";"Orig_name";"nRecords"
"1695";1695;4432626;"Agrilus cuprescens (Ménétriés, 1832)";"EXACT";"Agrilus cuprescens (Ménétriés, 1832)";962
"1696";1696;4432773;"Agrilus cyanescens (Ratzeburg, 1837)";"EXACT";"Agrilus cyanescens (Ratzeburg, 1837)";2053
"1697";1697;4432672;"Agrilus derasofasciatus Lacordaire, 1835";"EXACT";"Agrilus derasofasciatus Lacordaire, 1835";743
"1698";1698;1049532;"Agrilus extraneus Fisher, 1933";"EXACT";"Agrilus extraneus Fisher, 1933";31
"1699";1699;4432690;"Agrilus hyperici (Creutzer, 1799)";"EXACT";"Agrilus hyperici (Creutzer, 1799)";301
"1700";1700;9379101;"Agrilus mali Matsumura, 1924";"EXACT";"Agrilus mali Matsumura, 1924";22
"1701";1701;6003923;"Agrilus pilosovittatus Saunders, 1873";"EXACT";"Agrilus pilosovittatus Saunders, 1873";351
"1702";1702;5878492;"Agrilus planipennis Fairmaire, 1888";"EXACT";"Agrilus planipennis Fairmaire, 1888";1137
"1703";1703;6004044;"Agrilus prionurus Chevrolat, 1838";"EXACT";"Agrilus prionurus Chevrolat, 1838";16
"1704";1704;4432640;"Agrilus ribesi Schaefer, 1946";"EXACT";"Agrilus ribesi Schaefer, 1946";107
"1705";1705;4432736;"Agrilus sinuatus (Olivier, 1790)";"EXACT";"Agrilus sinuatus (Olivier, 1790)";886
"1706";1706;9456300;"Agrilus smaragdifrons Ganglbauer, 1890";"EXACT";"Agrilus smaragdifrons Ganglbauer, 1890";7
"1707";1707;6003909;"Agrilus subrobustus Saunders, 1873";"EXACT";"Agrilus subrobustus Saunders, 1873";308
"1708";1708;4432612;"Agrilus sulcicollis Lacordaire, 1835";"EXACT";"Agrilus sulcicollis Lacordaire, 1835";2684
"1709";1709;1162127;"Agriotes lineatus (Linnaeus)";"EXACT";"Agriotes lineatus (Linnaeus)";2885
"1710";1710;5878773;"Agriotes obscurus (Linnaeus, 1758)";"EXACT";"Agriotes obscurus (Linnaeus, 1758)";5317
"1711";1711;4308843;"Agriotes sordidus (Illiger, 1807)";"EXACT";"Agriotes sordidus (Illiger, 1807)";202
"1712";1712;5878766;"Agriotes sputator (Linnaeus, 1758)";"EXACT";"Agriotes sputator (Linnaeus, 1758)";3178
"1713";1713;1043858;"Ahasverus advena (Waltl, 1834)";"EXACT";"Ahasverus advena (Waltl, 1834)";1428
"1714";1714;6992701;"Ahasverus excisus (Reitter, 1876)";"EXACT";"Ahasverus excisus (Reitter, 1876)";3
"1715";1715;4450313;"Airaphilus nasutus Chevrolat, 1860";"EXACT";"Airaphilus nasutus Chevrolat, 1860";11
"1716";1716;9597482;"Alagoasa parana Samuelson, 1985";"EXACT";"Alagoasa parana Samuelson, 1985";4
"1717";1717;1040756;"Aleochara baranowskii Klimaszewski & Génier, 1987";"EXACT";"Aleochara baranowskii Klimaszewski & Génier, 1987";0
"1718";1718;1040723;"Aleochara bilineata Gyllenhal, 1810";"EXACT";"Aleochara bilineata Gyllenhal, 1810";743
"1719";1719;1040734;"Aleochara bimaculata Gravenhorst, 1802";"EXACT";"Aleochara bimaculata Gravenhorst, 1802";35
"1720";1720;1040748;"Aleochara curtula (Goeze, 1777)";"EXACT";"Aleochara curtula (Goeze, 1777)";2045
"1721";1721;1040758;"Aleochara fumata Gravenhorst, 1802";"EXACT";"Aleochara fumata Gravenhorst, 1802";605
"1722";1722;7624596;"Aleochara gaudiuscula Tottenham, 1939";"EXACT";"Aleochara gaudiuscula Tottenham, 1939";1
"1723";1723;1040746;"Aleochara lata Gravenhorst, 1802";"EXACT";"Aleochara lata Gravenhorst, 1802";203
"1724";1724;5874852;"Aleochara moerens Gyllenhal, 1827";"EXACT";"Aleochara moerens Gyllenhal, 1827";1699
"1725";1725;9598378;"Aleochara morion Gravenhorst, 1802";"EXACT";"Aleochara morion Gravenhorst, 1802";722
"1726";1726;1040764;"Aleochara puberula Klug, 1832";"EXACT";"Aleochara puberula Klug, 1832";464
