"";"speciesKey";"scientificName";"matchType";"Orig_name"
"33";"7772922";"Dendrobaena octaedra octaedra";"EXACT";"Dendrobaena octaedra octaedra"
"34";"9675087";"Dendrodrilus rubidus tenuis (Eisen, 1874)";"EXACT";"Dendrodrilus rubidus tenuis (Eisen, 1874)"
"35";"5815559";"Eisenia andrei (Bouché, 1972)";"EXACT";"Eisenia andrei (Bouché, 1972)"
"36";"5815560";"Eisenia fetida (Savigny, 1826)";"EXACT";"Eisenia fetida (Savigny, 1826)"
"37";"10605953";"Eisenia japonica";"EXACT";"Eisenia japonica"
"38";"8282211";"Eiseniella neapolitana (Örley, 1885)";"EXACT";"Eiseniella neapolitana (Örley, 1885)"
"39";"2307762";"Eiseniella tetraedra tetraedra";"EXACT";"Eiseniella tetraedra tetraedra"
"40";"8761743";"Enterion castaneum Savigny, 1826";"EXACT";"Enterion castaneum Savigny, 1826"
"41";"4410646";"Enterion cyaneum Savigny, 1826";"EXACT";"Enterion cyaneum Savigny, 1826"
"42";"8904752";"Enterion festivum Savigny, 1826";"EXACT";"Enterion festivum Savigny, 1826"
"43";"4410819";"Enterion ictericum Savigny, 1826";"EXACT";"Enterion ictericum Savigny, 1826"
"44";"7361263";"Enterion pygmaeum Savigny, 1826";"EXACT";"Enterion pygmaeum Savigny, 1826"
"45";"4410649";"Enterion tyrtaeum Savigny, 1926";"EXACT";"Enterion tyrtaeum Savigny, 1926"
"46";"4410412";"Helodrilus oculatus Hoffmeister, 1845";"EXACT";"Helodrilus oculatus Hoffmeister, 1845"
"47";"9546247";"Hyperiodrilus africanus Beddard, 1891";"EXACT";"Hyperiodrilus africanus Beddard, 1891"
"48";"8846136";"Lumbricus eugeniae Kinberg, 1867";"EXACT";"Lumbricus eugeniae Kinberg, 1867"
"49";"8161409";"Lumbricus friendi Cognetti, 1904";"EXACT";"Lumbricus friendi Cognetti, 1904"
"50";"8090087";"Lumbricus meliboeus Rosa, 1884";"EXACT";"Lumbricus meliboeus Rosa, 1884"
"51";"4410669";"Lumbricus rubellus Hoffmeister, 1843";"EXACT";"Lumbricus rubellus Hoffmeister, 1843"
"52";"4410657";"Lumbricus terrestris Linnaeus, 1758";"EXACT";"Lumbricus terrestris Linnaeus, 1758"
"53";"2307727";"Microscolex dubius (Fletcher, 1887)";"EXACT";"Microscolex dubius (Fletcher, 1887)"
"54";"2307726";"Microscolex phosphoreus (Dugès, 1837)";"EXACT";"Microscolex phosphoreus (Dugès, 1837)"
"55";"4410647";"Octolasion lacteum Örley, 1881";"EXACT";"Octolasion lacteum Örley, 1881"
"56";"9652608";"Octolasium cyancum";"EXACT";"Octolasium cyancum"
"57";"9733506";"Octolasium lacteum";"EXACT";"Octolasium lacteum"
"58";"4410498";"Satchellius mammalis (de Savigny, 1826)";"EXACT";"Satchellius mammalis (de Savigny, 1826)"
"59";"2308258";"Sparganophilus tamesis Benham, 1892";"EXACT";"Sparganophilus tamesis Benham, 1892"
"60";"4812557";"Marionina coatesae Erséus, 1990";"EXACT";"Marionina coatesae Erséus, 1990"
"61";"7770832";"Propappus volki Michaelsen, 1916";"EXACT";"Propappus volki Michaelsen, 1916"
"62";"2307447";"Barbronia weberi (Blanchard, 1897)";"EXACT";"Barbronia weberi (Blanchard, 1897)"
"63";"4410235";"Benhamia affinis Michaelsen, 1890";"EXACT";"Benhamia affinis Michaelsen, 1890"
"64";"4410237";"Benhamia modiglianii Rosa, 1896";"EXACT";"Benhamia modiglianii Rosa, 1896"
"65";"4812260";"Branchiodrilus hortensis (Stephenson, 1910)";"EXACT";"Branchiodrilus hortensis (Stephenson, 1910)"
"66";"2308574";"Branchiura sowerbyi Beddard, 1892";"EXACT";"Branchiura sowerbyi Beddard, 1892"
"67";"9442679";"Bratislavia dadayi (Michaelsen, 1905)";"EXACT";"Bratislavia dadayi (Michaelsen, 1905)"
"68";"2308786";"Criodrilus lacuum Hoffmeister, 1845";"EXACT";"Criodrilus lacuum Hoffmeister, 1845"
"69";"4410238";"Dichogaster bolaui (Michaelsen, 1891)";"EXACT";"Dichogaster bolaui (Michaelsen, 1891)"
"70";"4410240";"Dichogaster saliens (Beddard, 1893)";"EXACT";"Dichogaster saliens (Beddard, 1893)"
"71";"4410232";"Eukerria saltensis (Beddard, 1895)";"EXACT";"Eukerria saltensis (Beddard, 1895)"
"72";"4410960";"Hormogaster redii Rosa, 1887";"EXACT";"Hormogaster redii Rosa, 1887"
"73";"5194088";"Ilyodrilus mastix Brinkhurst";"EXACT";"Ilyodrilus mastix Brinkhurst"
"74";"2308542";"Limnodrilus angustipenis Brinkhurst & Cook, 1966";"EXACT";"Limnodrilus angustipenis Brinkhurst & Cook, 1966"
"75";"2308541";"Limnodrilus cervix Brinkhurst, 1963";"EXACT";"Limnodrilus cervix Brinkhurst, 1963"
"76";"2308549";"Limnodrilus maumeensis Brinkhurst & Cook, 1966";"EXACT";"Limnodrilus maumeensis Brinkhurst & Cook, 1966"
"77";"2308557";"Limnodrilus profundicola (Verrill, 1871)";"EXACT";"Limnodrilus profundicola (Verrill, 1871)"
"78";"9734399";"Moniligaster japonicus Michaelsen, 1892";"EXACT";"Moniligaster japonicus Michaelsen, 1892"
"79";"4410150";"Monopylephorus limosus (Hatai, 1898)";"EXACT";"Monopylephorus limosus (Hatai, 1898)"
"80";"4410231";"Ocnerodrilus occidentalis Eisen, 1878";"EXACT";"Ocnerodrilus occidentalis Eisen, 1878"
"81";"2308108";"Paranais botniensis Sperber, 1948";"EXACT";"Paranais botniensis Sperber, 1948"
"82";"2308113";"Paranais frici Hrabĕ, 1941";"EXACT";"Paranais frici Hrabĕ, 1941"
"83";"2308645";"Phallodrilus aquaedulcis Hrabe";"EXACT";"Phallodrilus aquaedulcis Hrabe"
"84";"9553127";"Phoenicodrilus taste Eisen, 1895";"EXACT";"Phoenicodrilus taste Eisen, 1895"
"85";"2308741";"Pontoscolex corethrurus (Muller, 1857)";"EXACT";"Pontoscolex corethrurus (Muller, 1857)"
"86";"2308606";"Potamothrix bavaricus (Oschmann, 1913)";"EXACT";"Potamothrix bavaricus (Oschmann, 1913)"
"87";"2308604";"Potamothrix bedoti (Piguet, 1913)";"EXACT";"Potamothrix bedoti (Piguet, 1913)"
"88";"2308608";"Potamothrix hammoniensis (Michaelsen, 1901)";"EXACT";"Potamothrix hammoniensis (Michaelsen, 1901)"
"89";"4307880";"Potamothrix heuscheri (Bretscher, 1900)";"EXACT";"Potamothrix heuscheri (Bretscher, 1900)"
"90";"2308609";"Potamothrix moldaviensis (Vejdovský & Mrázek, 1903)";"EXACT";"Potamothrix moldaviensis (Vejdovský & Mrázek, 1903)"
"91";"2308605";"Potamothrix vejdovskyi (Hrabĕ, 1941)";"EXACT";"Potamothrix vejdovskyi (Hrabĕ, 1941)"
"92";"5194057";"Pristina acuminata Liang, 1958";"EXACT";"Pristina acuminata Liang, 1958"
"93";"4307850";"Psammoryctides deserticola (Grimm, 1877)";"EXACT";"Psammoryctides deserticola (Grimm, 1877)"
"94";"2308186";"Ripistes parasita (Schmidt, 1847)";"EXACT";"Ripistes parasita (Schmidt, 1847)"
"95";"2308512";"Spirosperma ferox Eisen, 1879";"EXACT";"Spirosperma ferox Eisen, 1879"
"96";"2308439";"Tubifex newaensis (Michaelsen, 1903)";"EXACT";"Tubifex newaensis (Michaelsen, 1903)"
"97";"2308668";"Tubificoides benedii (d'Udekem, 1855)";"EXACT";"Tubificoides benedii (d'Udekem, 1855)"
"98";"2308674";"Tubificoides diazi Brinkhurst & Baker, 1979";"EXACT";"Tubificoides diazi Brinkhurst & Baker, 1979"
"99";"2308528";"Tubificoides heterochaetus (Michaelsen, 1926)";"EXACT";"Tubificoides heterochaetus (Michaelsen, 1926)"
"100";"2308676";"Tubificoides pseudogaster (Dahl, 1960)";"EXACT";"Tubificoides pseudogaster (Dahl, 1960)"
"101";"2308030";"Vejdovskyella intermedia (Bretscher, 1896)";"EXACT";"Vejdovskyella intermedia (Bretscher, 1896)"
"102";"2308015";"Stylodrilus heringianus Claparède, 1862";"EXACT";"Stylodrilus heringianus Claparède, 1862"
"103";"9087002";"Amyntas aeruginosus Kinberg, 1866";"EXACT";"Amyntas aeruginosus Kinberg, 1866"
"104";"9225458";"Amynthas agrestis (Goto & Hatai, 1899)";"EXACT";"Amynthas agrestis (Goto & Hatai, 1899)"
"105";"9468869";"Amynthas asiaticus Michaelsen, 1900";"EXACT";"Amynthas asiaticus Michaelsen, 1900"
"106";"2307610";"Amynthas corticis (Kinberg, 1867)";"EXACT";"Amynthas corticis (Kinberg, 1867)"
"107";"2307609";"Amynthas gracilis (Kinberg, 1867)";"EXACT";"Amynthas gracilis (Kinberg, 1867)"
"108";"2307608";"Amynthas hupeiensis (Michaelsen, 1895)";"EXACT";"Amynthas hupeiensis (Michaelsen, 1895)"
"109";"4410208";"Megascolex diffringens Baird, 1869";"EXACT";"Megascolex diffringens Baird, 1869"
"110";"4410227";"Megascolex schmardae Horst, 1883";"EXACT";"Megascolex schmardae Horst, 1883"
"111";"9378634";"Perichaeta aspergillum Perrier, 1872";"EXACT";"Perichaeta aspergillum Perrier, 1872"
"112";"9065858";"Perichaeta bicincta Perrier, 1875";"EXACT";"Perichaeta bicincta Perrier, 1875"
"113";"8934650";"Perichaeta carnosa Goto & Hatai, 1899";"EXACT";"Perichaeta carnosa Goto & Hatai, 1899"
"114";"9357172";"Perichaeta elongata Perrier, 1872";"EXACT";"Perichaeta elongata Perrier, 1872"
"115";"8859152";"Perichaeta hawayana Rosa, 1891";"EXACT";"Perichaeta hawayana Rosa, 1891"
"116";"9565801";"Perichaeta hilgendorfi Michaelsen, 1892";"EXACT";"Perichaeta hilgendorfi Michaelsen, 1892"
"117";"9098881";"Perichaeta houlleti Perrier, 1872";"EXACT";"Perichaeta houlleti Perrier, 1872"
"118";"9658981";"Perichaeta minima Horst, 1893";"EXACT";"Perichaeta minima Horst, 1893"
"119";"9135535";"Perichaeta morrisi Beddard, 1892";"EXACT";"Perichaeta morrisi Beddard, 1892"
"120";"9785597";"Perichaeta papulosa Rosa, 1896";"EXACT";"Perichaeta papulosa Rosa, 1896"
"121";"9043350";"Perichaeta posthuma Vaillant, 1868";"EXACT";"Perichaeta posthuma Vaillant, 1868"
"122";"9648517";"Perichaeta robusta Perrier, 1872";"EXACT";"Perichaeta robusta Perrier, 1872"
"123";"8801409";"Perichaeta rodericensis Grube, 1879";"EXACT";"Perichaeta rodericensis Grube, 1879"
"124";"9009456";"Perichaeta taprobanae Beddard, 1892";"EXACT";"Perichaeta taprobanae Beddard, 1892"
"125";"9711540";"Perichaeta tokioensis Beddard, 1892";"EXACT";"Perichaeta tokioensis Beddard, 1892"
"126";"2307593";"Perionyx excavatus Perrier, 1872";"EXACT";"Perionyx excavatus Perrier, 1872"
"127";"4410223";"Pheretima californica Kinberg, 1866";"EXACT";"Pheretima californica Kinberg, 1866"
"128";"8850958";"Pheretima incongrua Y.Chen, 1933";"EXACT";"Pheretima incongrua Y.Chen, 1933"
"129";"9028035";"Pheretima loveridgei Gates, 1968";"EXACT";"Pheretima loveridgei Gates, 1968"
"130";"9779325";"Pheretima papilio Gates, 1930";"EXACT";"Pheretima papilio Gates, 1930"
"131";"9763830";"Pheretima taipeiensis C-F.Tsai, 1964";"EXACT";"Pheretima taipeiensis C-F.Tsai, 1964"
"132";"4307912";"Pontodrilus litoralis (Grube, 1855)";"EXACT";"Pontodrilus litoralis (Grube, 1855)"
"133";"2307856";"Caspiobdella fadejewi (Selensky, 1915)";"EXACT";"Caspiobdella fadejewi (Selensky, 1915)"
"134";"4411161";"Cystobranchus fasciatus (Kollar, 1842)";"EXACT";"Cystobranchus fasciatus (Kollar, 1842)"
"135";"4411129";"Helobdella europaea Kutschera, 1987";"EXACT";"Helobdella europaea Kutschera, 1987"
"136";"2307946";"Helobdella punctatolineata Moore, 1939";"EXACT";"Helobdella punctatolineata Moore, 1939"
"137";"2307936";"Helobdella stagnalis (Linnaeus, 1758)";"EXACT";"Helobdella stagnalis (Linnaeus, 1758)"
"138";"2307807";"Myzobdella lugubris Leidy, 1851";"EXACT";"Myzobdella lugubris Leidy, 1851"
"139";"5193997";"Piscicola geometra (Linnaeus, 1761)";"EXACT";"Piscicola geometra (Linnaeus, 1761)"
"140";"5740042";"Piscicola haranti Jarry, 1960";"EXACT";"Piscicola haranti Jarry, 1960"
"141";"4411145";"Placobdella costata (Müller, 1846)";"EXACT";"Placobdella costata (Müller, 1846)"
"142";"2317572";"Eurythoe complanata (Pallas, 1766)";"EXACT";"Eurythoe complanata (Pallas, 1766)"
"143";"2317583";"Eurythoe laevisetis Fauvel, 1914";"EXACT";"Eurythoe laevisetis Fauvel, 1914"
"144";"2317552";"Hermodice carunculata (Pallas, 1766)";"EXACT";"Hermodice carunculata (Pallas, 1766)"
"145";"2317509";"Linopherus acarunculatus (Monro, 1937)";"EXACT";"Linopherus acarunculatus (Monro, 1937)"
"146";"2317532";"Linopherus canariensis Langerhans, 1881";"EXACT";"Linopherus canariensis Langerhans, 1881"
"147";"4289047";"Linopherus incarunculata (Peters, 1854)";"EXACT";"Linopherus incarunculata (Peters, 1854)"
"148";"2317620";"Notopygos crinita Grube, 1855";"EXACT";"Notopygos crinita Grube, 1855"
"149";"2508901";"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828";"EXACT";"Ochetostoma erythrogrammon Rüppell & Leuckart, 1828"
"150";"7711096";"Diopatra hupferiana (Augener, 1918)";"EXACT";"Diopatra hupferiana (Augener, 1918)"
"151";"2323543";"Diopatra marocensis Paxton, Fadlaoui & Lechapt, 1995";"EXACT";"Diopatra marocensis Paxton, Fadlaoui & Lechapt, 1995"
"152";"5198034";"Dorvillea similis (Crossland, 1924)";"EXACT";"Dorvillea similis (Crossland, 1924)"
"153";"5198445";"Eunice indica Kinberg, 1865";"EXACT";"Eunice indica Kinberg, 1865"
"154";"5198176";"Eunice tubifex Crossland, 1904";"EXACT";"Eunice tubifex Crossland, 1904"
"155";"2323231";"Kuwaita heteropoda (Marenzeller, 1879)";"EXACT";"Kuwaita heteropoda (Marenzeller, 1879)"
"156";"5198234";"Leodice antennata Savigny, 1818";"EXACT";"Leodice antennata Savigny, 1818"
"157";"2323495";"Longibrachium atlanticum (Day, 1973)";"EXACT";"Longibrachium atlanticum (Day, 1973)"
"158";"2322820";"Lumbrinerides neogesae Miura, 1981";"EXACT";"Lumbrinerides neogesae Miura, 1981"
"159";"2322975";"Lumbrineris acutiformis Gallardo, 1968";"EXACT";"Lumbrineris acutiformis Gallardo, 1968"
"160";"2323205";"Lumbrineris bifilaris Ehlers, 1901";"EXACT";"Lumbrineris bifilaris Ehlers, 1901"
"161";"2322938";"Lumbrineris debilis Grube, 1878";"EXACT";"Lumbrineris debilis Grube, 1878"
"162";"2323155";"Lumbrineris inflata Moore, 1911";"EXACT";"Lumbrineris inflata Moore, 1911"
"163";"2323125";"Lumbrineris japonica (Marenzeller, 1879)";"EXACT";"Lumbrineris japonica (Marenzeller, 1879)"
"164";"2322929";"Lumbrineris perkinsi Carrera-Parra, 2001";"EXACT";"Lumbrineris perkinsi Carrera-Parra, 2001"
"165";"5198157";"Lysidice collaris Grube, 1870";"EXACT";"Lysidice collaris Grube, 1870"
"166";"2322248";"Marphysa sanguinea (Montagu, 1813)";"EXACT";"Marphysa sanguinea (Montagu, 1813)"
"167";"5197940";"Oenone fulgida (Savigny, 1818)";"EXACT";"Oenone fulgida (Savigny, 1818)"
"168";"2323331";"Onuphis eremita Audouin & Milne Edwards, 1833";"EXACT";"Onuphis eremita Audouin & Milne Edwards, 1833"
"169";"2323331";"Onuphis eremita oculata Hartman, 1951";"EXACT";"Onuphis eremita oculata Hartman, 1951"
"170";"2323362";"Onuphis holobranchiata Marenzeller, 1879";"EXACT";"Onuphis holobranchiata Marenzeller, 1879"
"171";"2321941";"Ophryotrocha adherens Paavo, Bailey-Brock & Akesson, 2000";"EXACT";"Ophryotrocha adherens Paavo, Bailey-Brock & Akesson, 2000"
"172";"2321919";"Ophryotrocha diadema Åkesson, 1976";"EXACT";"Ophryotrocha diadema Åkesson, 1976"
"173";"2321945";"Ophryotrocha japonica Paxton & Åkesson, 2010";"EXACT";"Ophryotrocha japonica Paxton & Åkesson, 2010"
"174";"2321939";"Ophryotrocha labronica Bacci & La Greca, 1961";"EXACT";"Ophryotrocha labronica Bacci & La Greca, 1961"
"175";"8082159";"Palola valida (Gravier, 1900)";"EXACT";"Palola valida (Gravier, 1900)"
"176";"10344972";"Paucibranchia adenensis (Gravier, 1900)";"EXACT";"Paucibranchia adenensis (Gravier, 1900)"
"177";"10043305";"Paucibranchia disjuncta (Hartman, 1961)";"EXACT";"Paucibranchia disjuncta (Hartman, 1961)"
"178";"2322087";"Protodorvillea biarticulata Day, 1963";"EXACT";"Protodorvillea biarticulata Day, 1963"
"179";"2322091";"Protodorvillea egena (Ehlers, 1913)";"EXACT";"Protodorvillea egena (Ehlers, 1913)"
"180";"2322021";"Schistomeringos rudolphi (Delle Chiaje, 1828)";"EXACT";"Schistomeringos rudolphi (Delle Chiaje, 1828)"
"181";"2322852";"Scoletoma debilis (Grube, 1878)";"EXACT";"Scoletoma debilis (Grube, 1878)"
"182";"2315382";"Alitta succinea (Leuckart, 1847)";"EXACT";"Alitta succinea (Leuckart, 1847)"
"183";"2315395";"Alitta virens (M.Sars, 1835)";"EXACT";"Alitta virens (M.Sars, 1835)"
"184";"2310182";"Amblyosyllis speciosa Izuka, 1912";"EXACT";"Amblyosyllis speciosa Izuka, 1912"
"185";"2309685";"Branchiosyllis exilis (Gravier, 1900)";"EXACT";"Branchiosyllis exilis (Gravier, 1900)"
"186";"2315832";"Ceratonereis mirabilis Kinberg, 1865";"EXACT";"Ceratonereis mirabilis Kinberg, 1865"
"187";"2311915";"Eumida sanguinea (Örsted, 1843)";"EXACT";"Eumida sanguinea (Örsted, 1843)"
"188";"2314083";"Euphione tenuisetosa Gravier, 1901";"EXACT";"Euphione tenuisetosa Gravier, 1901"
"189";"2310374";"Eusyllis kupfferi Langerhans, 1879";"EXACT";"Eusyllis kupfferi Langerhans, 1879"
"190";"5815526";"Exogone africana Hartmann-Schröder, 1974";"EXACT";"Exogone africana Hartmann-Schröder, 1974"
"191";"5194517";"Exogone breviantennata Hartmann-Schröder, 1959";"EXACT";"Exogone breviantennata Hartmann-Schröder, 1959"
"192";"5194432";"Exogone verugera (Claparède, 1868)";"EXACT";"Exogone verugera (Claparède, 1868)"
"193";"5195463";"Glycera alba (O.F.Müller, 1776)";"EXACT";"Glycera alba (O.F.Müller, 1776)"
"194";"5195516";"Glycera capitata Örsted, 1843";"EXACT";"Glycera capitata Örsted, 1843"
"195";"5195512";"Glycera longipinnis Grube, 1878";"EXACT";"Glycera longipinnis Grube, 1878"
"196";"2316511";"Glycinde bonhourei Gravier, 1904";"EXACT";"Glycinde bonhourei Gravier, 1904"
"197";"2316488";"Goniadella gracilis (Verrill, 1873)";"EXACT";"Goniadella gracilis (Verrill, 1873)"
"198";"2316416";"Hediste diversicolor (O.F.Müller, 1776)";"EXACT";"Hediste diversicolor (O.F.Müller, 1776)"
"199";"2309075";"Hesionides arenaria Friedrich, 1937";"EXACT";"Hesionides arenaria Friedrich, 1937"
"200";"2312372";"Hesionura serrata (Hartmann-Schröder, 1960)";"EXACT";"Hesionura serrata (Hartmann-Schröder, 1960)"
"201";"2315035";"Iphione muricata (Lamarck, 1818)";"EXACT";"Iphione muricata (Lamarck, 1818)"
"202";"2316238";"Leonnates decipiens Fauvel, 1929";"EXACT";"Leonnates decipiens Fauvel, 1929"
"203";"2316227";"Leonnates indicus Kinberg, 1865";"EXACT";"Leonnates indicus Kinberg, 1865"
"204";"2316240";"Leonnates persicus Wesenberg-Lund, 1949";"EXACT";"Leonnates persicus Wesenberg-Lund, 1949"
"205";"2314157";"Lepidonotus carinulatus (Grube, 1870)";"EXACT";"Lepidonotus carinulatus (Grube, 1870)"
"206";"8095183";"Megasyllis nipponica (Imajima, 1966)";"EXACT";"Megasyllis nipponica (Imajima, 1966)"
"207";"5194209";"Microphthalmus similis Bobretzky, 1870";"EXACT";"Microphthalmus similis Bobretzky, 1870"
"208";"2309500";"Myrianida pachycera (Augener, 1913)";"EXACT";"Myrianida pachycera (Augener, 1913)"
"209";"2315369";"Namalycastis abiuma (Grube, 1872)";"EXACT";"Namalycastis abiuma (Grube, 1872)"
"210";"5196692";"Neanthes agulhana (Day, 1963)";"EXACT";"Neanthes agulhana (Day, 1963)"
"211";"5196637";"Neanthes arenaceodentata (Moore, 1903)";"EXACT";"Neanthes arenaceodentata (Moore, 1903)"
"212";"5196644";"Neanthes cricognatha (Ehlers, 1904)";"EXACT";"Neanthes cricognatha (Ehlers, 1904)"
"213";"5196660";"Neanthes willeyi (Day, 1934)";"EXACT";"Neanthes willeyi (Day, 1934)"
"214";"2316942";"Nephtys ciliata (Müller, 1788)";"EXACT";"Nephtys ciliata (Müller, 1788)"
"215";"5196224";"Nereis falcaria (Willey, 1905)";"EXACT";"Nereis falcaria (Willey, 1905)"
"216";"5196434";"Nereis gilchristi Day, 1967";"EXACT";"Nereis gilchristi Day, 1967"
"217";"5196151";"Nereis jacksoni Kinberg, 1865";"EXACT";"Nereis jacksoni Kinberg, 1865"
"218";"5196384";"Nereis persica Fauvel, 1911";"EXACT";"Nereis persica Fauvel, 1911"
"219";"8423287";"Nereis zonata Malmgren, 1867";"EXACT";"Nereis zonata Malmgren, 1867"
"220";"2310214";"Opisthosyllis brunnea Langerhans, 1879";"EXACT";"Opisthosyllis brunnea Langerhans, 1879"
"221";"2314107";"Paradyte crinoidicola (Potts, 1910)";"EXACT";"Paradyte crinoidicola (Potts, 1910)"
"222";"8023417";"Paraehlersia weissmannioides (Augener, 1913)";"EXACT";"Paraehlersia weissmannioides (Augener, 1913)"
"223";"2314777";"Paralepidonotus indicus (Kinberg, 1856)";"EXACT";"Paralepidonotus indicus (Kinberg, 1856)"
"224";"4811835";"Perinereis aibuhitensis (Grube, 1878)";"EXACT";"Perinereis aibuhitensis (Grube, 1878)"
"225";"2316126";"Perinereis linea (Treadwell, 1936)";"EXACT";"Perinereis linea (Treadwell, 1936)"
"226";"2316143";"Perinereis nuntia (Lamarck, 1818)";"EXACT";"Perinereis nuntia (Lamarck, 1818)"
"227";"7962277";"Perkinsyllis augeneri (Hartmann-Schröder, 1979)";"EXACT";"Perkinsyllis augeneri (Hartmann-Schröder, 1979)"
"228";"5194994";"Phyllodoce longifrons Ben-Eliahu, 1972";"EXACT";"Phyllodoce longifrons Ben-Eliahu, 1972"
"229";"2311570";"Pisione guanche San Martín, López & Núñez, 1999";"EXACT";"Pisione guanche San Martín, López & Núñez, 1999"
"230";"2315942";"Platynereis australis (Schmarda, 1861)";"EXACT";"Platynereis australis (Schmarda, 1861)"
"231";"2309037";"Podarkeopsis capensis (Day, 1963)";"EXACT";"Podarkeopsis capensis (Day, 1963)"
"232";"2309924";"Proceraea cornuta (Agassiz, 1862)";"EXACT";"Proceraea cornuta (Agassiz, 1862)"
"233";"2310982";"Prosphaerosyllis longipapillata (Hartmann-Schröder, 1979)";"EXACT";"Prosphaerosyllis longipapillata (Hartmann-Schröder, 1979)"
"234";"2315466";"Pseudonereis anomala Gravier, 1899";"EXACT";"Pseudonereis anomala Gravier, 1899"
"235";"5194369";"Salvatoria clavata (Claparède, 1863)";"EXACT";"Salvatoria clavata (Claparède, 1863)"
"236";"2316677";"Sigambra constricta (Southern, 1921)";"EXACT";"Sigambra constricta (Southern, 1921)"
"237";"2316670";"Sigambra parva (Day, 1963)";"EXACT";"Sigambra parva (Day, 1963)"
"238";"2316672";"Sigambra tentaculata (Treadwell, 1941)";"EXACT";"Sigambra tentaculata (Treadwell, 1941)"
"239";"2310244";"Streptosyllis varians Webster & Benedict, 1887";"EXACT";"Streptosyllis varians Webster & Benedict, 1887"
"240";"2308987";"Syllidia armata de Quatrefages, 1865";"EXACT";"Syllidia armata de Quatrefages, 1865"
